Date,Country,Confirmed Cases,Deaths,New Cases,Country Population
2022-09-01,Belgium,4482315,32516,0,11589623
2022-08-31,Belgium,4482315,32516,0,11589623
2022-08-30,Belgium,4482315,32516,0,11589623
2022-08-29,Belgium,4482315,32516,4545,11589623
2022-08-28,Belgium,4477770,32496,0,11589623
2022-08-27,Belgium,4477770,32496,0,11589623
2022-08-26,Belgium,4477770,32496,0,11589623
2022-08-25,Belgium,4477770,32496,6150,11589623
2022-08-24,Belgium,4471620,32463,0,11589623
2022-08-23,Belgium,4471620,32463,0,11589623
2022-08-22,Belgium,4471620,32463,5525,11589623
2022-08-21,Belgium,4466095,32436,0,11589623
2022-08-20,Belgium,4466095,32436,0,11589623
2022-08-19,Belgium,4466095,32436,0,11589623
2022-08-18,Belgium,4466095,32436,5513,11589623
2022-08-17,Belgium,4460582,32410,0,11589623
2022-08-16,Belgium,4460582,32410,7099,11589623
2022-08-15,Belgium,4453483,32364,0,11589623
2022-08-14,Belgium,4453483,32364,0,11589623
2022-08-13,Belgium,4453483,32364,0,11589623
2022-08-12,Belgium,4453483,32364,0,11589623
2022-08-11,Belgium,4453483,32364,8664,11589623
2022-08-10,Belgium,4444819,32329,0,11589623
2022-08-09,Belgium,4444819,32329,0,11589623
2022-08-08,Belgium,4444819,32329,7520,11589623
2022-08-07,Belgium,4437299,32296,0,11589623
2022-08-06,Belgium,4437299,32296,0,11589623
2022-08-05,Belgium,4437299,32296,12098,11589623
2022-08-04,Belgium,4425201,32263,0,11589623
2022-08-03,Belgium,4425201,32263,0,11589623
2022-08-02,Belgium,4425201,32263,0,11589623
2022-08-01,Belgium,4425201,32263,10946,11589623
2022-07-31,Belgium,4414255,32228,0,11589623
2022-07-30,Belgium,4414255,32228,0,11589623
2022-07-29,Belgium,4414255,32228,0,11589623
2022-07-28,Belgium,4414255,32228,16094,11589623
2022-07-27,Belgium,4398161,32179,0,11589623
2022-07-26,Belgium,4398161,32179,0,11589623
2022-07-25,Belgium,4398161,32179,16830,11589623
2022-07-24,Belgium,4381331,32118,0,11589623
2022-07-23,Belgium,4381331,32118,0,11589623
2022-07-22,Belgium,4381331,32118,0,11589623
2022-07-21,Belgium,4381331,32118,0,11589623
2022-07-20,Belgium,4381331,32118,12720,11589623
2022-07-19,Belgium,4368611,32089,0,11589623
2022-07-18,Belgium,4368611,32089,19561,11589623
2022-07-17,Belgium,4349050,32051,0,11589623
2022-07-16,Belgium,4349050,32051,0,11589623
2022-07-15,Belgium,4349050,32051,0,11589623
2022-07-14,Belgium,4349050,32051,28943,11589623
2022-07-13,Belgium,4320107,32015,0,11589623
2022-07-12,Belgium,4320107,32015,0,11589623
2022-07-11,Belgium,4320107,32015,25227,11589623
2022-07-10,Belgium,4294880,31977,0,11589623
2022-07-09,Belgium,4294880,31977,0,11589623
2022-07-08,Belgium,4294880,31977,0,11589623
2022-07-07,Belgium,4294880,31977,29584,11589623
2022-07-06,Belgium,4265296,31952,0,11589623
2022-07-05,Belgium,4265296,31952,0,11589623
2022-07-04,Belgium,4265296,31952,19218,11589623
2022-07-03,Belgium,4246078,31918,0,11589623
2022-07-02,Belgium,4246078,31918,0,11589623
2022-07-01,Belgium,4246078,31918,0,11589623
2022-06-30,Belgium,4246078,31918,20856,11589623
2022-06-29,Belgium,4225222,31903,0,11589623
2022-06-28,Belgium,4225222,31903,0,11589623
2022-06-27,Belgium,4225222,31903,13711,11589623
2022-06-26,Belgium,4211511,31883,0,11589623
2022-06-25,Belgium,4211511,31883,0,11589623
2022-06-24,Belgium,4211511,31883,0,11589623
2022-06-23,Belgium,4211511,31883,14166,11589623
2022-06-22,Belgium,4197345,31868,0,11589623
2022-06-21,Belgium,4197345,31868,0,11589623
2022-06-20,Belgium,4197345,31868,9405,11589623
2022-06-19,Belgium,4187940,31856,0,11589623
2022-06-18,Belgium,4187940,31856,0,11589623
2022-06-17,Belgium,4187940,31856,0,11589623
2022-06-16,Belgium,4187940,31856,10500,11589623
2022-06-15,Belgium,4177440,31835,0,11589623
2022-06-14,Belgium,4177440,31835,0,11589623
2022-06-13,Belgium,4177440,31835,7188,11589623
2022-06-12,Belgium,4170252,31816,0,11589623
2022-06-11,Belgium,4170252,31816,0,11589623
2022-06-10,Belgium,4170252,31816,0,11589623
2022-06-09,Belgium,4170252,31816,5554,11589623
2022-06-08,Belgium,4164698,31799,0,11589623
2022-06-07,Belgium,4164698,31799,5944,11589623
2022-06-06,Belgium,4158754,31768,0,11589623
2022-06-05,Belgium,4158754,31768,0,11589623
2022-06-04,Belgium,4158754,31768,0,11589623
2022-06-03,Belgium,4158754,31768,0,11589623
2022-06-02,Belgium,4158754,31768,6196,11589623
2022-06-01,Belgium,4152558,31754,0,11589623
2022-05-31,Belgium,4152558,31754,0,11589623
2022-05-30,Belgium,4152558,31754,4990,11589623
2022-05-29,Belgium,4147568,31727,0,11589623
2022-05-28,Belgium,4147568,31727,0,11589623
2022-05-27,Belgium,4147568,31727,0,11589623
2022-05-26,Belgium,4147568,31727,0,11589623
2022-05-25,Belgium,4147568,31727,4160,11589623
2022-05-24,Belgium,4143408,31710,0,11589623
2022-05-23,Belgium,4143408,31710,9115,11589623
2022-05-22,Belgium,4134293,31675,0,11589623
2022-05-21,Belgium,4134293,31675,0,11589623
2022-05-20,Belgium,4134293,31675,0,11589623
2022-05-19,Belgium,4134293,31675,0,11589623
2022-05-18,Belgium,4134293,31675,7170,11589623
2022-05-17,Belgium,4127123,31656,0,11589623
2022-05-16,Belgium,4127123,31656,10726,11589623
2022-05-15,Belgium,4116397,31613,0,11589623
2022-05-14,Belgium,4116397,31613,0,11589623
2022-05-13,Belgium,4116397,31613,0,11589623
2022-05-12,Belgium,4116397,31613,14315,11589623
2022-05-11,Belgium,4102082,31580,0,11589623
2022-05-10,Belgium,4102082,31580,0,11589623
2022-05-09,Belgium,4102082,31580,13746,11589623
2022-05-08,Belgium,4088336,31552,0,11589623
2022-05-07,Belgium,4088336,31552,0,11589623
2022-05-06,Belgium,4088336,31552,0,11589623
2022-05-05,Belgium,4088336,31552,17057,11589623
2022-05-04,Belgium,4071279,31494,0,11589623
2022-05-03,Belgium,4071279,31494,0,11589623
2022-05-02,Belgium,4071279,31494,14831,11589623
2022-05-01,Belgium,4056448,31439,0,11589623
2022-04-30,Belgium,4056448,31439,0,11589623
2022-04-29,Belgium,4056448,31439,0,11589623
2022-04-28,Belgium,4056448,31439,20335,11589623
2022-04-27,Belgium,4036113,31382,0,11589623
2022-04-26,Belgium,4036113,31382,20322,11589623
2022-04-25,Belgium,4015791,31319,0,11589623
2022-04-24,Belgium,4015791,31319,0,11589623
2022-04-23,Belgium,4015791,31319,0,11589623
2022-04-22,Belgium,4015791,31319,0,11589623
2022-04-21,Belgium,4015791,31319,17069,11589623
2022-04-20,Belgium,3998722,31262,0,11589623
2022-04-19,Belgium,3998722,31262,25759,11589623
2022-04-18,Belgium,3972963,31165,0,11589623
2022-04-17,Belgium,3972963,31165,0,11589623
2022-04-16,Belgium,3972963,31165,0,11589623
2022-04-15,Belgium,3972963,31165,0,11589623
2022-04-14,Belgium,3972963,31165,29132,11589623
2022-04-13,Belgium,3943831,31079,0,11589623
2022-04-12,Belgium,3943831,31079,0,11589623
2022-04-11,Belgium,3943831,31079,28099,11589623
2022-04-10,Belgium,3915732,30997,0,11589623
2022-04-09,Belgium,3915732,30997,0,11589623
2022-04-08,Belgium,3915732,30997,0,11589623
2022-04-07,Belgium,3915732,30997,34209,11589623
2022-04-06,Belgium,3881523,30908,0,11589623
2022-04-05,Belgium,3881523,30908,0,11589623
2022-04-04,Belgium,3881523,30908,30475,11589623
2022-04-03,Belgium,3851048,30826,0,11589623
2022-04-02,Belgium,3851048,30826,0,11589623
2022-04-01,Belgium,3851048,30826,0,11589623
2022-03-31,Belgium,3851048,30826,43601,11589623
2022-03-30,Belgium,3807447,30747,0,11589623
2022-03-29,Belgium,3807447,30747,0,11589623
2022-03-28,Belgium,3807447,30747,25362,11589623
2022-03-27,Belgium,3782085,30686,0,11589623
2022-03-26,Belgium,3782085,30686,0,11589623
2022-03-25,Belgium,3782085,30686,10852,11589623
2022-03-24,Belgium,3771233,30662,13457,11589623
2022-03-23,Belgium,3757776,30635,16162,11589623
2022-03-22,Belgium,3741614,30605,12669,11589623
2022-03-21,Belgium,3728945,30575,21384,11589623
2022-03-20,Belgium,3707561,30529,0,11589623
2022-03-19,Belgium,3707561,30529,11502,11589623
2022-03-18,Belgium,3696059,30510,0,11589623
2022-03-17,Belgium,3696059,30510,12275,11589623
2022-03-16,Belgium,3683784,30492,25700,11589623
2022-03-15,Belgium,3658084,30445,0,11589623
2022-03-14,Belgium,3658084,30445,18032,11589623
2022-03-13,Belgium,3640052,30408,0,11589623
2022-03-12,Belgium,3640052,30408,0,11589623
2022-03-11,Belgium,3640052,30408,10381,11589623
2022-03-10,Belgium,3629671,30380,20549,11589623
2022-03-09,Belgium,3609122,30313,0,11589623
2022-03-08,Belgium,3609122,30313,7495,11589623
2022-03-07,Belgium,3601627,30296,15335,11589623
2022-03-06,Belgium,3586292,30259,0,11589623
2022-03-05,Belgium,3586292,30259,0,11589623
2022-03-04,Belgium,3586292,30259,14713,11589623
2022-03-03,Belgium,3571579,30217,7738,11589623
2022-03-02,Belgium,3563841,30199,0,11589623
2022-03-01,Belgium,3563841,30199,6527,11589623
2022-02-28,Belgium,3557314,30179,13280,11589623
2022-02-27,Belgium,3544034,30121,0,11589623
2022-02-26,Belgium,3544034,30121,0,11589623
2022-02-25,Belgium,3544034,30121,6359,11589623
2022-02-24,Belgium,3537675,30101,8634,11589623
2022-02-23,Belgium,3529041,30076,8473,11589623
2022-02-22,Belgium,3520568,30040,8356,11589623
2022-02-21,Belgium,3512212,30015,17989,11589623
2022-02-20,Belgium,3494223,29920,0,11589623
2022-02-19,Belgium,3494223,29920,0,11589623
2022-02-18,Belgium,3494223,29920,9705,11589623
2022-02-17,Belgium,3484518,29886,11503,11589623
2022-02-16,Belgium,3473015,29832,12714,11589623
2022-02-15,Belgium,3460301,29778,12762,11589623
2022-02-14,Belgium,3447539,29724,26458,11589623
2022-02-13,Belgium,3421081,29624,0,11589623
2022-02-12,Belgium,3421081,29624,0,11589623
2022-02-11,Belgium,3421081,29624,15242,11589623
2022-02-10,Belgium,3405839,29563,19616,11589623
2022-02-09,Belgium,3386223,29497,22333,11589623
2022-02-08,Belgium,3363890,29429,19057,11589623
2022-02-07,Belgium,3344833,29337,48795,11589623
2022-02-06,Belgium,3296038,29227,0,11589623
2022-02-05,Belgium,3296038,29227,0,11589623
2022-02-04,Belgium,3296038,29227,28382,11589623
2022-02-03,Belgium,3267656,29185,38027,11589623
2022-02-02,Belgium,3229629,29132,45428,11589623
2022-02-01,Belgium,3184201,29083,28962,11589623
2022-01-31,Belgium,3155239,29052,99314,11589623
2022-01-30,Belgium,3055925,28957,0,11589623
2022-01-29,Belgium,3055925,28957,0,11589623
2022-01-28,Belgium,3055925,28957,48201,11589623
2022-01-27,Belgium,3007724,28938,68285,11589623
2022-01-26,Belgium,2939439,28902,61227,11589623
2022-01-25,Belgium,2878212,28863,47493,11589623
2022-01-24,Belgium,2830719,28835,133480,11589623
2022-01-23,Belgium,2697239,28780,0,11589623
2022-01-22,Belgium,2697239,28780,0,11589623
2022-01-21,Belgium,2697239,28780,54478,11589623
2022-01-20,Belgium,2642761,28759,67448,11589623
2022-01-19,Belgium,2575313,28726,53851,11589623
2022-01-18,Belgium,2521462,28695,37435,11589623
2022-01-17,Belgium,2484027,28661,73296,11589623
2022-01-16,Belgium,2410731,28612,0,11589623
2022-01-15,Belgium,2410731,28612,0,11589623
2022-01-14,Belgium,2410731,28612,63567,11589623
2022-01-13,Belgium,2347164,28566,0,11589623
2022-01-12,Belgium,2347164,28566,39321,11589623
2022-01-11,Belgium,2307843,28539,21311,11589623
2022-01-10,Belgium,2286532,28518,54846,11589623
2022-01-09,Belgium,2231686,28459,0,11589623
2022-01-08,Belgium,2231686,28459,0,11589623
2022-01-07,Belgium,2231686,28459,24694,11589623
2022-01-06,Belgium,2206992,28446,27282,11589623
2022-01-05,Belgium,2179710,28429,27796,11589623
2022-01-04,Belgium,2151914,28407,18630,11589623
2022-01-03,Belgium,2133284,28385,27941,11589623
2022-01-02,Belgium,2105343,28331,0,11589623
2022-01-01,Belgium,2105343,28331,0,11589623
2021-12-31,Belgium,2105343,28331,15686,11589623
2021-12-30,Belgium,2089657,28308,13876,11589623
2021-12-29,Belgium,2075781,28267,12945,11589623
2021-12-28,Belgium,2062836,28250,9965,11589623
2021-12-27,Belgium,2052871,28218,14760,11589623
2021-12-26,Belgium,2038111,28149,0,11589623
2021-12-25,Belgium,2038111,28149,0,11589623
2021-12-24,Belgium,2038111,28149,7233,11589623
2021-12-23,Belgium,2030878,28110,7593,11589623
2021-12-22,Belgium,2023285,28067,5838,11589623
2021-12-21,Belgium,2017447,28035,293,11589623
2021-12-20,Belgium,2017154,27992,17390,11589623
2021-12-19,Belgium,1999764,27895,0,11589623
2021-12-18,Belgium,1999764,27895,9604,11589623
2021-12-17,Belgium,1990160,27763,10040,11589623
2021-12-16,Belgium,1980120,27729,0,11589623
2021-12-15,Belgium,1980120,27729,11851,11589623
2021-12-14,Belgium,1968269,27685,9076,11589623
2021-12-13,Belgium,1959193,27631,29421,11589623
2021-12-12,Belgium,1929772,27504,0,11589623
2021-12-11,Belgium,1929772,27504,0,11589623
2021-12-10,Belgium,1929772,27504,15245,11589623
2021-12-09,Belgium,1914527,27463,16029,11589623
2021-12-08,Belgium,1898498,27416,18714,11589623
2021-12-07,Belgium,1879784,27360,10878,11589623
2021-12-06,Belgium,1868906,27319,41439,11589623
2021-12-05,Belgium,1827467,27167,0,11589623
2021-12-04,Belgium,1827467,27167,0,11589623
2021-12-03,Belgium,1827467,27167,17910,11589623
2021-12-02,Belgium,1809557,27120,23113,11589623
2021-12-01,Belgium,1786444,27072,20409,11589623
2021-11-30,Belgium,1766035,27015,16566,11589623
2021-11-29,Belgium,1749469,26966,47836,11589623
2021-11-28,Belgium,1701633,26840,0,11589623
2021-11-27,Belgium,1701633,26840,0,11589623
2021-11-26,Belgium,1701633,26840,21772,11589623
2021-11-25,Belgium,1679861,26793,20836,11589623
2021-11-24,Belgium,1659025,26743,23350,11589623
2021-11-23,Belgium,1635675,26705,12115,11589623
2021-11-22,Belgium,1623560,26669,42060,11589623
2021-11-21,Belgium,1581500,26568,0,11589623
2021-11-20,Belgium,1581500,26568,0,11589623
2021-11-19,Belgium,1581500,26568,21502,11589623
2021-11-18,Belgium,1559998,26526,16699,11589623
2021-11-17,Belgium,1543299,26484,18437,11589623
2021-11-16,Belgium,1524862,26444,12388,11589623
2021-11-15,Belgium,1512474,26403,27762,11589623
2021-11-14,Belgium,1484712,26321,0,11589623
